Index;Tweet_notrans;HS_notrans;Abusive_notrans;HS_Individual_notrans;HS_Group_notrans;HS_Religion_notrans;HS_Race_notrans;HS_Physical_notrans;HS_Gender_notrans;HS_Other_notrans;HS_Weak_notrans;HS_Moderate_notrans;HS_Strong_notrans;Tweet_Parsed_notrans;HS_predict_notrans;Abusive_predict_notrans;HS_Individual_predict_notrans;HS_Group_predict_notrans;HS_Religion_predict_notrans;HS_Race_predict_notrans;HS_Physical_predict_notrans;HS_Gender_predict_notrans;HS_Other_predict_notrans;HS_Weak_predict_notrans;HS_Moderate_predict_notrans;HS_Strong_predict_notrans;Language_notrans;Tweet_trans;HS_trans;Abusive_trans;HS_Individual_trans;HS_Group_trans;HS_Religion_trans;HS_Race_trans;HS_Physical_trans;HS_Gender_trans;HS_Other_trans;HS_Weak_trans;HS_Moderate_trans;HS_Strong_trans;Tweet_Parsed_trans;HS_predict_trans;Abusive_predict_trans;HS_Individual_predict_trans;HS_Group_predict_trans;HS_Religion_predict_trans;HS_Race_predict_trans;HS_Physical_predict_trans;HS_Gender_predict_trans;HS_Other_predict_trans;HS_Weak_predict_trans;HS_Moderate_predict_trans;HS_Strong_predict_trans;Language_trans
146;Radicalism is like a deadly virus, stop it before it kills you. Well done  USER for banning HTI & FPI, make your country wonderful again!;1;0;0;1;1;0;0;0;0;0;1;0;radicalism is like a deadly virus stop it sebelum it kills you well done user for banning hizbut tahrir indonesia front pembela islam make your country wonderful again ;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;en;Radicalism is like a deadly virus, stop it before it kills you. Well done  USER for banning HTI & FPI, make your country wonderful again!;1;0;0;1;1;0;0;0;0;0;1;0;radikalisme seperti virus henti mati itu belum bunuh anda dengan baik laku guna untuk larang hizbut tahrir indonesia front bela islam buat negara anda indah lagi;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;en
244;"I don't think, fuck about you,
#DirtyGirl #banGSAT
lick my ass,,,,";1;1;1;0;0;0;0;0;1;1;0;0;i do not t think fuck about you dirty girl bangsat lick my ass ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"I don't think, fuck about you,
#DirtyGirl #banGSAT
lick my ass,,,,";1;1;1;0;0;0;0;0;1;1;0;0;saya tidak t pikir apa tentang anda kotor gadis bangsat jilat pantat saya;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
399;WTFFF YOU SHOULDN'VE SACKED HIM RIGHT THERE KIMAK;1;1;1;0;0;0;0;0;1;1;0;0;what the fuck you shouldn ve sacked him right there kimak;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;WTFFF YOU SHOULDN'VE SACKED HIM RIGHT THERE KIMAK;1;1;1;0;0;0;0;0;1;1;0;0;apa apa anda tidak harus telah pecat di sana kimak;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
512;"Tropical peat forests suck carbon out of the atmosphere and store it. Now, research has shown three million hectares of tropical peat swamp forests in Malaysia and Indonesia have been replaced by palm oil plantations. 
 https://www.firstpost.com/tech/science/palm-oil-research-shows-that-new-plantations-produce-double-the-emissions-of-mature-ones-7945601.htmlÃÂ Ã¢ÂÂ¦";0;0;0;0;0;0;0;0;0;0;0;0;tropical peat forests suck carbon out of the atmosphere and store it now research has shown three million hectares of tropical peat swamp forests in malaysia and indonesia have been replaced by palm oil plantations ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;"Tropical peat forests suck carbon out of the atmosphere and store it. Now, research has shown three million hectares of tropical peat swamp forests in Malaysia and Indonesia have been replaced by palm oil plantations. 
 https://www.firstpost.com/tech/science/palm-oil-research-shows-that-new-plantations-produce-double-the-emissions-of-mature-ones-7945601.htmlÃÂ Ã¢ÂÂ¦";0;0;0;0;0;0;0;0;0;0;0;0;hutan gambut tropis menghisap karbon dari atmosfer dan simpan sekarang teliti telah tunjuk tiga juta hektar hutan gambut tropis rawa di malaysia dan indonesia telah ganti oleh kebun kelapa sawit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
536;dih BANGSAT BANYAK BGT SOLO STAN ANJING GET THE FUCK OUTTA HERE THIS IS BTS STREAMING PARTY AND THEY ARE SEVEN,,,,;0;1;0;0;0;0;0;0;0;0;0;0; bangsat banyak banget solo stan anjing get the fuck outta here this is bts streaming party and they are seven ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;dih BANGSAT BANYAK BGT SOLO STAN ANJING GET THE FUCK OUTTA HERE THIS IS BTS STREAMING PARTY AND THEY ARE SEVEN,,,,;0;1;0;0;0;0;0;0;0;0;0;0; bangsat banyak banget sama stan anjing dapat fuck keluar dari sini pihak bts alir ini dan mereka adalah tujuh;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
558;Don't force your style to others. What's cool for you could be norak and kampungan to others.;0;1;0;0;0;0;0;0;0;0;0;0;do not t force your gaya to others apa keren for you could be norak and kampungan to others ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Don't force your style to others. What's cool for you could be norak and kampungan to others.;0;1;0;0;0;0;0;0;0;0;0;0;tidak t paksa gaya anda untuk keren lie apa untuk anda bisa jadi norak dan kampung kepada orang lie;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
590;That's why Muslim countries are not respected by Western Countries because of such stupidity! All are beholden to US for their survival like Saudi. Now they are best of friends  with the biggest Setan Israel. That's why Jews can do anything to the Palestinians and to the Mosque!  https://twitter.com/SSSMsian/status/1168399894438002688ÃÂ Ã¢ÂÂ¦;1;1;0;1;1;0;0;0;0;0;1;0;that kenapa muslim countries are not respected by western countries because of such stupidity all are beholden to us for their survival like saudi now they are best of friends dengan the biggest setan israel that kenapa jews can do anything to the palestinians and to the mosque ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;That's why Muslim countries are not respected by Western Countries because of such stupidity! All are beholden to US for their survival like Saudi. Now they are best of friends  with the biggest Setan Israel. That's why Jews can do anything to the Palestinians and to the Mosque!  https://twitter.com/SSSMsian/status/1168399894438002688ÃÂ Ã¢ÂÂ¦;1;1;0;1;1;0;0;0;0;0;1;0;bahwa kenapa negara negara muslim tidak hormat oleh negara negara barat karena bodoh seperti semua hutang budi kepada kami untuk langsung hidup mereka seperti saudi sekarang mereka adalah  baik dari teman teman dengan besar setan israel  kenapa yahudi dapat laku apa untuk palestina dan masjid;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;en
591;They Can See It. It Logically Makes Sense To Them, But You Can Also Understand How Something Logically makes Sense while knowing your ego and pride gets in the way of accepting the ways you couldnt simultaneously be your possessive self and have it work lol https://twitter.com/Ignorantmalc/status/1223989641315061761ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;they can see it it logically makes sense to them but you can also understand how something logically makes sense ketika knowing your bego and pride gets in the way of accepting the arah you couldnt simultaneously be your possessive self and have it work  ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;They Can See It. It Logically Makes Sense To Them, But You Can Also Understand How Something Logically makes Sense while knowing your ego and pride gets in the way of accepting the ways you couldnt simultaneously be your possessive self and have it work lol https://twitter.com/Ignorantmalc/status/1223989641315061761ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;mereka dapat lihat cara logis masuk akal untuk mereka tapi anda juga bisa paham bagaimana sesuatu cara logis masuk akal ketika tahu bego anda dan bangga dapat di jalan terima arakh  anda tidak bisa cara sama jadi diri posesif anda dan milik kerja ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
749;From the Japanese art of miniature tree cultivation Ã¢ÂÂbonsaiÃ¢ÂÂ - Ã¢ÂÂdibonsaikanÃ¢ÂÂ was used to describe the way the New Order diminished intellectual debate.  Ã¢ÂÂKampunganÃ¢ÂÂ also a great word to describe the way Menteng sees the rest of the country.;0;0;0;0;0;0;0;0;0;0;0;0;from the japanese art of miniature tree cultivation bonsai dibonsaikan was used to describe the way the new order diminished intellectual debate kampungan also a great word to describe the way menteng sees the rest of the country ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;From the Japanese art of miniature tree cultivation Ã¢ÂÂbonsaiÃ¢ÂÂ - Ã¢ÂÂdibonsaikanÃ¢ÂÂ was used to describe the way the New Order diminished intellectual debate.  Ã¢ÂÂKampunganÃ¢ÂÂ also a great word to describe the way Menteng sees the rest of the country.;0;0;0;0;0;0;0;0;0;0;0;0;dari seni jepang budidaya pohon miniatur bonsai bonsai guna untuk gambar cara orde baru kurang intelektual debat kampung juga kata  bagus untuk gambar menteng cara lihat seluruh negara;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
779;Don't look at me as if you're tolol ngentot Ã°ÂÂÂ;1;1;1;0;0;0;0;0;1;1;0;0;do not t look at me as if you re tolol ngentot ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Don't look at me as if you're tolol ngentot Ã°ÂÂÂ;1;1;1;0;0;0;0;0;1;1;0;0;tidak t tatap olah olah anda kembali tolol ngentot;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
