Index;Tweet_notrans;HS_notrans;Abusive_notrans;HS_Individual_notrans;HS_Group_notrans;HS_Religion_notrans;HS_Race_notrans;HS_Physical_notrans;HS_Gender_notrans;HS_Other_notrans;HS_Weak_notrans;HS_Moderate_notrans;HS_Strong_notrans;Tweet_Parsed_notrans;HS_predict_notrans;Abusive_predict_notrans;HS_Individual_predict_notrans;HS_Group_predict_notrans;HS_Religion_predict_notrans;HS_Race_predict_notrans;HS_Physical_predict_notrans;HS_Gender_predict_notrans;HS_Other_predict_notrans;HS_Weak_predict_notrans;HS_Moderate_predict_notrans;HS_Strong_predict_notrans;Language_notrans;Tweet_trans;HS_trans;Abusive_trans;HS_Individual_trans;HS_Group_trans;HS_Religion_trans;HS_Race_trans;HS_Physical_trans;HS_Gender_trans;HS_Other_trans;HS_Weak_trans;HS_Moderate_trans;HS_Strong_trans;Tweet_Parsed_trans;HS_predict_trans;Abusive_predict_trans;HS_Individual_predict_trans;HS_Group_predict_trans;HS_Religion_predict_trans;HS_Race_predict_trans;HS_Physical_predict_trans;HS_Gender_predict_trans;HS_Other_predict_trans;HS_Weak_predict_trans;HS_Moderate_predict_trans;HS_Strong_predict_trans;Language_trans
11;Coffee really got me wired right now. A non coffee drinker;0;0;0;0;0;0;0;0;0;0;0;0;coffee really got me wired right now a non coffee drinker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Coffee really got me wired right now. A non coffee drinker;0;0;0;0;0;0;0;0;0;0;0;0;kopi benar benar buat saya kabel sekarang orang minum kopi non;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
61;Fuck you, i'd raid for giratina three times, but i didn't get anyhing anjing kau bangsat,,,,;1;1;1;0;0;0;0;0;1;1;0;0;fuck you i di raid for giratina three times but i did not t get anything anjing kamu bangsat ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en;Fuck you, i'd raid for giratina three times, but i didn't get anyhing anjing kau bangsat,,,,;1;1;1;0;0;0;0;0;1;1;0;0;cinta anda i di razia untuk giratina tiga kali tetapi saya tidak t dapat apa apa anjing kamu bangsat;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
147;I'm from small village and I know how hard to be kampungan in people eyes and learned from it;0;1;0;0;0;0;0;0;0;0;0;0;i sama from small village and i know how hard to be kampungan in people eyes and learned from it;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;I'm from small village and I know how hard to be kampungan in people eyes and learned from it;0;1;0;0;0;0;0;0;0;0;0;0;i sama dari desa kecil dan saya tahu betapa sulit untuk jadi kampung di mata orang orang dan ajar dari itu;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
154;"Yall..Idk why yall are so offended when kelantan and kelantanese get critisized. We Penangite get critisized all the time

For being sheeple of DAPig, for supporting kafir cina, for allegedly disregard muslim & malay rights, and malay and Muslim here who supports DAP are traitor";0;1;0;0;0;0;0;0;0;0;0;0;yel i do not know kenapa yel are so offended when kelantan and kelantanese get critisized we penangite get critisized all the time for being sheeple of dapig for supporting kafir cina for allegedly disregard muslim malaysia rights and malaysia and muslim here who supports dap are traitor;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"Yall..Idk why yall are so offended when kelantan and kelantanese get critisized. We Penangite get critisized all the time

For being sheeple of DAPig, for supporting kafir cina, for allegedly disregard muslim & malay rights, and malay and Muslim here who supports DAP are traitor";0;1;0;0;0;0;0;0;0;0;0;0;yel saya tidak tahu kenapa yel begitu singgung ketika lantan dan lantan dapat kritik kita penangite dapat kritik panjang waktu karena sheeple dari dapig untuk dukung kafir cina karena duga abai hak malaysia muslim dan malaysia dan muslim di sini  dukung dap adalah khianat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
230;The names don't even ring bells what years were they active? I'm tryna figure out wtf I was doing instead since I'm the odd one out lol https://twitter.com/acewuzhere/status/1224135093234601989ÃÂ Ã¢ÂÂ¦;0;1;0;0;0;0;0;0;0;0;0;0;the names do not t even ring bells apa years were they active i sama tryna figure out what the fuck i was doing instead sejak i sama the odd one out  ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;The names don't even ring bells what years were they active? I'm tryna figure out wtf I was doing instead since I'm the odd one out lol https://twitter.com/acewuzhere/status/1224135093234601989ÃÂ Ã¢ÂÂ¦;0;1;0;0;0;0;0;0;0;0;0;0;nama nama tidak t bahkan cincin lonceng apa tahun  mereka aktif saya sama tryna cari tahu apa apa  saya laku bukan sejak saya sama  aneh keluar ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
419;i'm a big fan of agnesmo. since day one. her voice is above everyone else her generation. her work ethics are things that i admired long ago. what i wanna say is that idol can make mistake. they have flaws too. just like jokowi and everyone else. infallibility is bullshit.;0;1;0;0;0;0;0;0;0;0;0;0;i sama a besar fan of agnesmo sejak day one her suara is above everyone else her generation her work ethics are berpikir that i admired long ago apa i ingin say is that idola can make kesalahan they have flaws too just like jokowi and everyone else infallibility is bullshit ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;i'm a big fan of agnesmo. since day one. her voice is above everyone else her generation. her work ethics are things that i admired long ago. what i wanna say is that idol can make mistake. they have flaws too. just like jokowi and everyone else. infallibility is bullshit.;0;1;0;0;0;0;0;0;0;0;0;0;i sama buah gede gemar agnesmo sejak hari pertama suara  di atas orang lie generasi  kerja etika pikir bahwa saya kagum lama apa i ingin kata bahwa idola bisa buat salah mereka milik lemah juga seperti jokowi dan orang lie infalibilitas ini tahi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
475;"Cc : fpi hti "" USER: A believer is fun and playful whereas a hypocrite is grim and angry. Prophet Muhammed (saw)""";0;0;0;0;0;0;0;0;0;0;0;0;cc front pembela islam hizbut tahrir indonesia user a believer is fun and playful whereas a hypocrite is grim and angry prophet muhammed saw ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"Cc : fpi hti "" USER: A believer is fun and playful whereas a hypocrite is grim and angry. Prophet Muhammed (saw)""";0;0;0;0;0;0;0;0;0;0;0;0;cc front bela islam hizbut tahrir indonesia guna iman adalah senang dan lucu sedang munafik adalah suram dan nabi marah muhammad saw;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;en
482;BANGSAT! You served everything I need BITCH! Vocal, choreo, style and shiz, FUCK IT UP!  USER #TheRemix2016,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat you served everything i need bitch vokal choreo gaya and shiz fuck it up user the remix ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;BANGSAT! You served everything I need BITCH! Vocal, choreo, style and shiz, FUCK IT UP!  USER #TheRemix2016,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat anda layan segala sesuatu  saya perlu jalang vokal koreo gaya dan shiz apa itu guna remix ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
521;The Qur'an takes away the freedom of belief from all humanity and relegates those who disbelieve in Islam to hell (5:10), calls them najis (filthy, untouchable, impure) (9:28), and orders its followers to fight the unbelievers until no other religion except Islam is left (2:193).;0;0;0;0;0;0;0;0;0;0;0;0;the qur an takes away the freedom of belief from all humanity and relegates those who disbelieve in islam to hell calls them najis filthy untouchable impure and orders it is pengikut to fight the unbelievers until no other religion except islam is left ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;The Qur'an takes away the freedom of belief from all humanity and relegates those who disbelieve in Islam to hell (5:10), calls them najis (filthy, untouchable, impure) (9:28), and orders its followers to fight the unbelievers until no other religion except Islam is left (2:193).;0;0;0;0;0;0;0;0;0;0;0;0; qur an hilang bebas yakin dari seluruh umat manusia dan rendah orang orang kafir di islam ke neraka panggil mereka najis kotor sentuh murni dan perintah itu ikut untuk lawan orang orang kafir sampai tidak ada agama lie kecuali islam  sisa ;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;en
547;how can she stay silent like nothing happen and all she did today just watching drama & fangirling without even thinking about her thesis. Fuck. You mom crying here for you, she's worried about you and your thesis. Wake up dude. Please wake up. Finish your fucking thesis. Bangsat;1;1;1;0;0;0;0;0;1;1;0;0;how can she stay silent like nothing happen and all she did today just menonton drama fangirling tanpa even thinking about her thesis fuck you mom menangis here for you she worried about you and your thesis wake up dude please wake up finish your fuck thesis bangsat;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en;how can she stay silent like nothing happen and all she did today just watching drama & fangirling without even thinking about her thesis. Fuck. You mom crying here for you, she's worried about you and your thesis. Wake up dude. Please wake up. Finish your fucking thesis. Bangsat;1;1;1;0;0;0;0;0;1;1;0;0;bagaimana dia bisa tinggal diam seperti tidak jadi dan semua  dia laku hari ini hanya tonton drama fangirling tanpa bahkan pikir tentang tesis cinta anda ibu menang di sini untuk anda dia khawatir tentang anda dan tesis bangun anda up bung sila bangun finish apa tesis anda bangsat;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
